InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone
a1.2xlarge,,,8.0,16.0,,0.2568,0.069000,ap-northeast-1,apne1-az4
a1.2xlarge,,,8.0,16.0,,0.2568,,ap-northeast-1,apne1-az1
a1.2xlarge,,,8.0,16.0,,0.2568,0.070000,ap-northeast-1,apne1-az2
a1.2xlarge,,,8.0,16.0,,0.204,,ap-south-1,aps1-az1
a1.2xlarge,,,8.0,16.0,,0.204,0.054700,ap-south-1,aps1-az3
a1.2xlarge,,,8.0,16.0,,0.204,0.054700,ap-south-1,aps1-az2
a1.2xlarge,,,8.0,16.0,,0.2352,0.068200,ap-southeast-1,apse1-az2
a1.2xlarge,,,8.0,16.0,,0.2352,0.068200,ap-southeast-1,apse1-az1
a1.2xlarge,,,8.0,16.0,,0.2352,,ap-southeast-1,apse1-az3
a1.2xlarge,,,8.0,16.0,,0.2664,0.071400,ap-southeast-2,apse2-az1
a1.2xlarge,,,8.0,16.0,,0.2664,,ap-southeast-2,apse2-az3
a1.2xlarge,,,8.0,16.0,,0.2664,0.071400,ap-southeast-2,apse2-az2
a1.2xlarge,,,8.0,16.0,,0.2328,0.232800,eu-central-1,euc1-az2
a1.2xlarge,,,8.0,16.0,,0.2328,0.232800,eu-central-1,euc1-az3
a1.2xlarge,,,8.0,16.0,,0.2328,,eu-central-1,euc1-az1
a1.2xlarge,,,8.0,16.0,,0.2304,,eu-west-1,euw1-az3
a1.2xlarge,,,8.0,16.0,,0.2304,0.072100,eu-west-1,euw1-az1
a1.2xlarge,,,8.0,16.0,,0.2304,0.071200,eu-west-1,euw1-az2
a1.2xlarge,,,8.0,16.0,,0.204,0.091800,us-east-1,use1-az2
a1.2xlarge,,,8.0,16.0,,0.204,0.090600,us-east-1,use1-az4
a1.2xlarge,,,8.0,16.0,,0.204,0.067500,us-east-1,use1-az6
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,use1-az1
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,use1-az3
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,use1-az5
a1.2xlarge,,,8.0,16.0,,0.204,0.039400,us-east-2,use2-az1
a1.2xlarge,,,8.0,16.0,,0.204,0.039400,us-east-2,use2-az2
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-2,use2-az3
a1.2xlarge,,,8.0,16.0,,0.204,,us-west-2,usw2-az1
a1.2xlarge,,,8.0,16.0,,0.204,0.066700,us-west-2,usw2-az2
a1.2xlarge,,,8.0,16.0,,0.204,0.066700,us-west-2,usw2-az3
a1.2xlarge,,,8.0,16.0,,0.204,,us-west-2,usw2-az4
a1.4xlarge,,,16.0,32.0,,0.5136,0.513600,ap-northeast-1,apne1-az4
a1.4xlarge,,,16.0,32.0,,0.5136,,ap-northeast-1,apne1-az1
a1.4xlarge,,,16.0,32.0,,0.5136,0.137900,ap-northeast-1,apne1-az2
a1.4xlarge,,,16.0,32.0,,0.408,,ap-south-1,aps1-az1
a1.4xlarge,,,16.0,32.0,,0.408,0.109500,ap-south-1,aps1-az3
a1.4xlarge,,,16.0,32.0,,0.408,0.109500,ap-south-1,aps1-az2
a1.4xlarge,,,16.0,32.0,,0.4704,0.136800,ap-southeast-1,apse1-az2
a1.4xlarge,,,16.0,32.0,,0.4704,0.136900,ap-southeast-1,apse1-az1
a1.4xlarge,,,16.0,32.0,,0.4704,,ap-southeast-1,apse1-az3
a1.4xlarge,,,16.0,32.0,,0.5328,0.142900,ap-southeast-2,apse2-az1
a1.4xlarge,,,16.0,32.0,,0.5328,,ap-southeast-2,apse2-az3
a1.4xlarge,,,16.0,32.0,,0.5328,0.142900,ap-southeast-2,apse2-az2
a1.4xlarge,,,16.0,32.0,,0.4656,0.465600,eu-central-1,euc1-az2
a1.4xlarge,,,16.0,32.0,,0.4656,0.465600,eu-central-1,euc1-az3
a1.4xlarge,,,16.0,32.0,,0.4656,,eu-central-1,euc1-az1
a1.4xlarge,,,16.0,32.0,,0.4608,,eu-west-1,euw1-az3
a1.4xlarge,,,16.0,32.0,,0.4608,0.142400,eu-west-1,euw1-az1
a1.4xlarge,,,16.0,32.0,,0.4608,0.142400,eu-west-1,euw1-az2
a1.4xlarge,,,16.0,32.0,,0.408,0.157800,us-east-1,use1-az2
a1.4xlarge,,,16.0,32.0,,0.408,0.155900,us-east-1,use1-az4
a1.4xlarge,,,16.0,32.0,,0.408,0.134300,us-east-1,use1-az6
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,use1-az1
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,use1-az3
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,use1-az5
a1.4xlarge,,,16.0,32.0,,0.408,0.151800,us-east-2,use2-az1
a1.4xlarge,,,16.0,32.0,,0.408,0.078800,us-east-2,use2-az2
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-2,use2-az3
a1.4xlarge,,,16.0,32.0,,0.408,,us-west-2,usw2-az1
a1.4xlarge,,,16.0,32.0,,0.408,0.133500,us-west-2,usw2-az2
a1.4xlarge,,,16.0,32.0,,0.408,0.133500,us-west-2,usw2-az3
a1.4xlarge,,,16.0,32.0,,0.408,,us-west-2,usw2-az4
a1.large,,,2.0,4.0,,0.0642,0.017200,ap-northeast-1,apne1-az4
a1.large,,,2.0,4.0,,0.0642,,ap-northeast-1,apne1-az1
a1.large,,,2.0,4.0,,0.0642,0.017200,ap-northeast-1,apne1-az2
a1.large,,,2.0,4.0,,0.051,,ap-south-1,aps1-az1
a1.large,,,2.0,4.0,,0.051,0.013700,ap-south-1,aps1-az3
a1.large,,,2.0,4.0,,0.051,0.013700,ap-south-1,aps1-az2
a1.large,,,2.0,4.0,,0.0588,0.017400,ap-southeast-1,apse1-az2
a1.large,,,2.0,4.0,,0.0588,0.017100,ap-southeast-1,apse1-az1
a1.large,,,2.0,4.0,,0.0588,,ap-southeast-1,apse1-az3
a1.large,,,2.0,4.0,,0.0666,0.017900,ap-southeast-2,apse2-az1
a1.large,,,2.0,4.0,,0.0666,,ap-southeast-2,apse2-az3
a1.large,,,2.0,4.0,,0.0666,0.017900,ap-southeast-2,apse2-az2
a1.large,,,2.0,4.0,,0.0582,0.058200,eu-central-1,euc1-az2
a1.large,,,2.0,4.0,,0.0582,0.017200,eu-central-1,euc1-az3
a1.large,,,2.0,4.0,,0.0582,,eu-central-1,euc1-az1
a1.large,,,2.0,4.0,,0.0576,,eu-west-1,euw1-az3
a1.large,,,2.0,4.0,,0.0576,0.020100,eu-west-1,euw1-az1
a1.large,,,2.0,4.0,,0.0576,0.024200,eu-west-1,euw1-az2
a1.large,,,2.0,4.0,,0.051,0.040100,us-east-1,use1-az2
a1.large,,,2.0,4.0,,0.051,0.030800,us-east-1,use1-az4
a1.large,,,2.0,4.0,,0.051,0.045600,us-east-1,use1-az6
a1.large,,,2.0,4.0,,0.051,,us-east-1,use1-az1
a1.large,,,2.0,4.0,,0.051,,us-east-1,use1-az3
a1.large,,,2.0,4.0,,0.051,,us-east-1,use1-az5
a1.large,,,2.0,4.0,,0.051,0.012200,us-east-2,use2-az1
a1.large,,,2.0,4.0,,0.051,0.017200,us-east-2,use2-az2
a1.large,,,2.0,4.0,,0.051,,us-east-2,use2-az3
a1.large,,,2.0,4.0,,0.051,,us-west-2,usw2-az1
a1.large,,,2.0,4.0,,0.051,0.016700,us-west-2,usw2-az2
a1.large,,,2.0,4.0,,0.051,0.018200,us-west-2,usw2-az3
a1.large,,,2.0,4.0,,0.051,,us-west-2,usw2-az4
a1.medium,,,1.0,2.0,,0.0321,0.008700,ap-northeast-1,apne1-az4
a1.medium,,,1.0,2.0,,0.0321,,ap-northeast-1,apne1-az1
a1.medium,,,1.0,2.0,,0.0321,0.008600,ap-northeast-1,apne1-az2
a1.medium,,,1.0,2.0,,0.0255,,ap-south-1,aps1-az1
a1.medium,,,1.0,2.0,,0.0255,0.006800,ap-south-1,aps1-az3
a1.medium,,,1.0,2.0,,0.0255,0.006800,ap-south-1,aps1-az2
a1.medium,,,1.0,2.0,,0.0294,0.008600,ap-southeast-1,apse1-az2
a1.medium,,,1.0,2.0,,0.0294,0.008500,ap-southeast-1,apse1-az1
a1.medium,,,1.0,2.0,,0.0294,,ap-southeast-1,apse1-az3
a1.medium,,,1.0,2.0,,0.0333,0.008900,ap-southeast-2,apse2-az1
a1.medium,,,1.0,2.0,,0.0333,,ap-southeast-2,apse2-az3
a1.medium,,,1.0,2.0,,0.0333,0.008900,ap-southeast-2,apse2-az2
a1.medium,,,1.0,2.0,,0.0291,0.029100,eu-central-1,euc1-az2
a1.medium,,,1.0,2.0,,0.0291,0.029100,eu-central-1,euc1-az3
a1.medium,,,1.0,2.0,,0.0291,,eu-central-1,euc1-az1
a1.medium,,,1.0,2.0,,0.0288,,eu-west-1,euw1-az3
a1.medium,,,1.0,2.0,,0.0288,0.008900,eu-west-1,euw1-az1
a1.medium,,,1.0,2.0,,0.0288,0.008900,eu-west-1,euw1-az2
a1.medium,,,1.0,2.0,,0.0255,0.009000,us-east-1,use1-az2
a1.medium,,,1.0,2.0,,0.0255,0.008400,us-east-1,use1-az4
a1.medium,,,1.0,2.0,,0.0255,0.009100,us-east-1,use1-az6
a1.medium,,,1.0,2.0,,0.0255,,us-east-1,use1-az1
a1.medium,,,1.0,2.0,,0.0255,,us-east-1,use1-az3
a1.medium,,,1.0,2.0,,0.0255,,us-east-1,use1-az5
a1.medium,,,1.0,2.0,,0.0255,0.004900,us-east-2,use2-az1
a1.medium,,,1.0,2.0,,0.0255,0.005000,us-east-2,use2-az2
a1.medium,,,1.0,2.0,,0.0255,,us-east-2,use2-az3
a1.medium,,,1.0,2.0,,0.0255,,us-west-2,usw2-az1
a1.medium,,,1.0,2.0,,0.0255,0.008300,us-west-2,usw2-az2
a1.medium,,,1.0,2.0,,0.0255,0.008300,us-west-2,usw2-az3
a1.medium,,,1.0,2.0,,0.0255,,us-west-2,usw2-az4
a1.metal,,,16.0,32.0,,0.514,0.232900,ap-northeast-1,apne1-az4
a1.metal,,,16.0,32.0,,0.514,,ap-northeast-1,apne1-az1
a1.metal,,,16.0,32.0,,0.514,0.137900,ap-northeast-1,apne1-az2
a1.metal,,,16.0,32.0,,0.408,,ap-south-1,aps1-az1
a1.metal,,,16.0,32.0,,0.408,0.109500,ap-south-1,aps1-az3
a1.metal,,,16.0,32.0,,0.408,0.109500,ap-south-1,aps1-az2
a1.metal,,,16.0,32.0,,0.47,0.135700,ap-southeast-1,apse1-az2
a1.metal,,,16.0,32.0,,0.47,0.137400,ap-southeast-1,apse1-az1
a1.metal,,,16.0,32.0,,0.47,,ap-southeast-1,apse1-az3
a1.metal,,,16.0,32.0,,0.533,0.142900,ap-southeast-2,apse2-az1
a1.metal,,,16.0,32.0,,0.533,,ap-southeast-2,apse2-az3
a1.metal,,,16.0,32.0,,0.533,0.142900,ap-southeast-2,apse2-az2
a1.metal,,,16.0,32.0,,0.466,0.466000,eu-central-1,euc1-az2
a1.metal,,,16.0,32.0,,0.466,0.466000,eu-central-1,euc1-az3
a1.metal,,,16.0,32.0,,0.466,,eu-central-1,euc1-az1
a1.metal,,,16.0,32.0,,0.461,,eu-west-1,euw1-az3
a1.metal,,,16.0,32.0,,0.461,0.142400,eu-west-1,euw1-az1
a1.metal,,,16.0,32.0,,0.461,0.142400,eu-west-1,euw1-az2
a1.metal,,,16.0,32.0,,0.408,0.134300,us-east-1,use1-az2
a1.metal,,,16.0,32.0,,0.408,0.134300,us-east-1,use1-az4
a1.metal,,,16.0,32.0,,0.408,0.134300,us-east-1,use1-az6
a1.metal,,,16.0,32.0,,0.408,,us-east-1,use1-az1
a1.metal,,,16.0,32.0,,0.408,,us-east-1,use1-az3
a1.metal,,,16.0,32.0,,0.408,,us-east-1,use1-az5
a1.metal,,,16.0,32.0,,0.408,0.078800,us-east-2,use2-az1
a1.metal,,,16.0,32.0,,0.408,0.156800,us-east-2,use2-az2
a1.metal,,,16.0,32.0,,0.408,,us-east-2,use2-az3
a1.metal,,,16.0,32.0,,0.408,,us-west-2,usw2-az1
a1.metal,,,16.0,32.0,,0.408,0.133500,us-west-2,usw2-az2
a1.metal,,,16.0,32.0,,0.408,0.133500,us-west-2,usw2-az3
a1.metal,,,16.0,32.0,,0.408,,us-west-2,usw2-az4
a1.xlarge,,,4.0,8.0,,0.1284,0.034500,ap-northeast-1,apne1-az4
a1.xlarge,,,4.0,8.0,,0.1284,,ap-northeast-1,apne1-az1
a1.xlarge,,,4.0,8.0,,0.1284,0.034600,ap-northeast-1,apne1-az2
a1.xlarge,,,4.0,8.0,,0.102,,ap-south-1,aps1-az1
a1.xlarge,,,4.0,8.0,,0.102,0.027400,ap-south-1,aps1-az3
a1.xlarge,,,4.0,8.0,,0.102,0.027400,ap-south-1,aps1-az2
a1.xlarge,,,4.0,8.0,,0.1176,0.034200,ap-southeast-1,apse1-az2
a1.xlarge,,,4.0,8.0,,0.1176,0.036800,ap-southeast-1,apse1-az1
a1.xlarge,,,4.0,8.0,,0.1176,,ap-southeast-1,apse1-az3
a1.xlarge,,,4.0,8.0,,0.1332,0.035700,ap-southeast-2,apse2-az1
a1.xlarge,,,4.0,8.0,,0.1332,,ap-southeast-2,apse2-az3
a1.xlarge,,,4.0,8.0,,0.1332,0.035700,ap-southeast-2,apse2-az2
a1.xlarge,,,4.0,8.0,,0.1164,0.116400,eu-central-1,euc1-az2
a1.xlarge,,,4.0,8.0,,0.1164,0.116400,eu-central-1,euc1-az3
a1.xlarge,,,4.0,8.0,,0.1164,,eu-central-1,euc1-az1
a1.xlarge,,,4.0,8.0,,0.1152,,eu-west-1,euw1-az3
a1.xlarge,,,4.0,8.0,,0.1152,0.036400,eu-west-1,euw1-az1
a1.xlarge,,,4.0,8.0,,0.1152,0.036100,eu-west-1,euw1-az2
a1.xlarge,,,4.0,8.0,,0.102,0.059200,us-east-1,use1-az2
a1.xlarge,,,4.0,8.0,,0.102,0.058600,us-east-1,use1-az4
a1.xlarge,,,4.0,8.0,,0.102,0.063200,us-east-1,use1-az6
a1.xlarge,,,4.0,8.0,,0.102,,us-east-1,use1-az1
a1.xlarge,,,4.0,8.0,,0.102,,us-east-1,use1-az3
a1.xlarge,,,4.0,8.0,,0.102,,us-east-1,use1-az5
a1.xlarge,,,4.0,8.0,,0.102,0.019700,us-east-2,use2-az1
a1.xlarge,,,4.0,8.0,,0.102,0.022100,us-east-2,use2-az2
a1.xlarge,,,4.0,8.0,,0.102,,us-east-2,use2-az3
a1.xlarge,,,4.0,8.0,,0.102,,us-west-2,usw2-az1
a1.xlarge,,,4.0,8.0,,0.102,0.033400,us-west-2,usw2-az2
a1.xlarge,,,4.0,8.0,,0.102,0.033400,us-west-2,usw2-az3
a1.xlarge,,,4.0,8.0,,0.102,,us-west-2,usw2-az4
c1.medium,,,2.0,1.69921875,,0.158,0.158000,ap-northeast-1,apne1-az4
c1.medium,,,2.0,1.69921875,,0.158,0.158000,ap-northeast-1,apne1-az1
c1.medium,,,2.0,1.69921875,,0.158,,ap-northeast-1,apne1-az2
c1.medium,,,2.0,1.69921875,,0.164,0.025400,ap-southeast-1,apse1-az2
c1.medium,,,2.0,1.69921875,,0.164,0.017500,ap-southeast-1,apse1-az1
c1.medium,,,2.0,1.69921875,,0.164,,ap-southeast-1,apse1-az3
c1.medium,,,2.0,1.69921875,,0.164,0.164000,ap-southeast-2,apse2-az1
c1.medium,,,2.0,1.69921875,,0.164,0.016400,ap-southeast-2,apse2-az3
c1.medium,,,2.0,1.69921875,,0.164,,ap-southeast-2,apse2-az2
c1.medium,,,2.0,1.69921875,,0.148,0.148000,eu-west-1,euw1-az3
c1.medium,,,2.0,1.69921875,,0.148,0.021900,eu-west-1,euw1-az1
c1.medium,,,2.0,1.69921875,,0.148,0.018500,eu-west-1,euw1-az2
c1.medium,,,2.0,1.69921875,,0.13,0.036200,us-east-1,use1-az2
c1.medium,,,2.0,1.69921875,,0.13,0.017600,us-east-1,use1-az4
c1.medium,,,2.0,1.69921875,,0.13,0.022000,us-east-1,use1-az6
c1.medium,,,2.0,1.69921875,,0.13,0.013000,us-east-1,use1-az1
c1.medium,,,2.0,1.69921875,,0.13,,us-east-1,use1-az3
c1.medium,,,2.0,1.69921875,,0.13,,us-east-1,use1-az5
c1.medium,,,2.0,1.69921875,,0.148,0.014800,us-west-1,usw1-az1
c1.medium,,,2.0,1.69921875,,0.148,0.014800,us-west-1,usw1-az3
c1.medium,,,2.0,1.69921875,,0.13,0.130000,us-west-2,usw2-az1
c1.medium,,,2.0,1.69921875,,0.13,0.130000,us-west-2,usw2-az2
c1.medium,,,2.0,1.69921875,,0.13,0.130000,us-west-2,usw2-az3
c1.medium,,,2.0,1.69921875,,0.13,,us-west-2,usw2-az4
c1.xlarge,,,8.0,7.0,,0.632,0.543700,ap-northeast-1,apne1-az4
c1.xlarge,,,8.0,7.0,,0.632,0.632000,ap-northeast-1,apne1-az1
c1.xlarge,,,8.0,7.0,,0.632,,ap-northeast-1,apne1-az2
c1.xlarge,,,8.0,7.0,,0.655,0.655000,ap-southeast-1,apse1-az2
c1.xlarge,,,8.0,7.0,,0.655,0.655000,ap-southeast-1,apse1-az1
c1.xlarge,,,8.0,7.0,,0.655,,ap-southeast-1,apse1-az3
c1.xlarge,,,8.0,7.0,,0.655,0.655000,ap-southeast-2,apse2-az1
c1.xlarge,,,8.0,7.0,,0.655,0.655000,ap-southeast-2,apse2-az3
c1.xlarge,,,8.0,7.0,,0.655,,ap-southeast-2,apse2-az2
c1.xlarge,,,8.0,7.0,,0.592,0.451300,eu-west-1,euw1-az3
c1.xlarge,,,8.0,7.0,,0.592,0.592000,eu-west-1,euw1-az1
c1.xlarge,,,8.0,7.0,,0.592,0.592000,eu-west-1,euw1-az2
c1.xlarge,,,8.0,7.0,,0.52,0.520000,us-east-1,use1-az2
c1.xlarge,,,8.0,7.0,,0.52,0.183600,us-east-1,use1-az4
c1.xlarge,,,8.0,7.0,,0.52,0.520000,us-east-1,use1-az6
c1.xlarge,,,8.0,7.0,,0.52,0.168600,us-east-1,use1-az1
c1.xlarge,,,8.0,7.0,,0.52,,us-east-1,use1-az3
c1.xlarge,,,8.0,7.0,,0.52,,us-east-1,use1-az5
c1.xlarge,,,8.0,7.0,,0.592,0.592000,us-west-1,usw1-az1
c1.xlarge,,,8.0,7.0,,0.592,0.059200,us-west-1,usw1-az3
c1.xlarge,,,8.0,7.0,,0.52,0.101100,us-west-2,usw2-az1
c1.xlarge,,,8.0,7.0,,0.52,0.520000,us-west-2,usw2-az2
c1.xlarge,,,8.0,7.0,,0.52,0.520000,us-west-2,usw2-az3
c1.xlarge,,,8.0,7.0,,0.52,,us-west-2,usw2-az4
c3.2xlarge,,,8.0,15.0,,0.511,0.124400,ap-northeast-1,apne1-az4
c3.2xlarge,,,8.0,15.0,,0.511,0.120700,ap-northeast-1,apne1-az1
c3.2xlarge,,,8.0,15.0,,0.511,,ap-northeast-1,apne1-az2
c3.2xlarge,,,8.0,15.0,,0.46,,ap-northeast-2,apne2-az1
c3.2xlarge,,,8.0,15.0,,0.46,,ap-northeast-2,apne2-az2
c3.2xlarge,,,8.0,15.0,,0.46,,ap-northeast-2,apne2-az3
c3.2xlarge,,,8.0,15.0,,0.46,,ap-northeast-2,apne2-az4
c3.2xlarge,,,8.0,15.0,,0.529,0.529000,ap-southeast-1,apse1-az2
c3.2xlarge,,,8.0,15.0,,0.529,0.157900,ap-southeast-1,apse1-az1
c3.2xlarge,,,8.0,15.0,,0.529,,ap-southeast-1,apse1-az3
c3.2xlarge,,,8.0,15.0,,0.529,0.127300,ap-southeast-2,apse2-az1
c3.2xlarge,,,8.0,15.0,,0.529,0.125000,ap-southeast-2,apse2-az3
c3.2xlarge,,,8.0,15.0,,0.529,0.125000,ap-southeast-2,apse2-az2
c3.2xlarge,,,8.0,15.0,,0.516,0.229900,eu-central-1,euc1-az2
c3.2xlarge,,,8.0,15.0,,0.516,0.133800,eu-central-1,euc1-az3
c3.2xlarge,,,8.0,15.0,,0.516,,eu-central-1,euc1-az1
c3.2xlarge,,,8.0,15.0,,0.478,0.141100,eu-west-1,euw1-az3
c3.2xlarge,,,8.0,15.0,,0.478,0.478000,eu-west-1,euw1-az1
c3.2xlarge,,,8.0,15.0,,0.478,0.136400,eu-west-1,euw1-az2
c3.2xlarge,,,8.0,15.0,,0.42,0.164100,us-east-1,use1-az2
c3.2xlarge,,,8.0,15.0,,0.42,0.171200,us-east-1,use1-az4
c3.2xlarge,,,8.0,15.0,,0.42,0.138200,us-east-1,use1-az6
c3.2xlarge,,,8.0,15.0,,0.42,,us-east-1,use1-az1
c3.2xlarge,,,8.0,15.0,,0.42,0.420000,us-east-1,use1-az3
c3.2xlarge,,,8.0,15.0,,0.42,,us-east-1,use1-az5
c3.2xlarge,,,8.0,15.0,,0.478,0.478000,us-west-1,usw1-az1
c3.2xlarge,,,8.0,15.0,,0.478,0.478000,us-west-1,usw1-az3
c3.2xlarge,,,8.0,15.0,,0.42,0.420000,us-west-2,usw2-az1
c3.2xlarge,,,8.0,15.0,,0.42,0.116800,us-west-2,usw2-az2
c3.2xlarge,,,8.0,15.0,,0.42,0.420000,us-west-2,usw2-az3
c3.2xlarge,,,8.0,15.0,,0.42,,us-west-2,usw2-az4
c3.4xlarge,,,16.0,30.0,,1.021,0.241400,ap-northeast-1,apne1-az4
c3.4xlarge,,,16.0,30.0,,1.021,0.244900,ap-northeast-1,apne1-az1
c3.4xlarge,,,16.0,30.0,,1.021,,ap-northeast-1,apne1-az2
c3.4xlarge,,,16.0,30.0,,0.919,,ap-northeast-2,apne2-az1
c3.4xlarge,,,16.0,30.0,,0.919,,ap-northeast-2,apne2-az2
c3.4xlarge,,,16.0,30.0,,0.919,,ap-northeast-2,apne2-az3
c3.4xlarge,,,16.0,30.0,,0.919,,ap-northeast-2,apne2-az4
c3.4xlarge,,,16.0,30.0,,1.058,0.238500,ap-southeast-1,apse1-az2
c3.4xlarge,,,16.0,30.0,,1.058,0.267700,ap-southeast-1,apse1-az1
c3.4xlarge,,,16.0,30.0,,1.058,,ap-southeast-1,apse1-az3
c3.4xlarge,,,16.0,30.0,,1.058,0.250000,ap-southeast-2,apse2-az1
c3.4xlarge,,,16.0,30.0,,1.058,0.250000,ap-southeast-2,apse2-az3
c3.4xlarge,,,16.0,30.0,,1.058,0.250000,ap-southeast-2,apse2-az2
c3.4xlarge,,,16.0,30.0,,1.032,0.240600,eu-central-1,euc1-az2
c3.4xlarge,,,16.0,30.0,,1.032,0.244500,eu-central-1,euc1-az3
c3.4xlarge,,,16.0,30.0,,1.032,,eu-central-1,euc1-az1
c3.4xlarge,,,16.0,30.0,,0.956,0.249900,eu-west-1,euw1-az3
c3.4xlarge,,,16.0,30.0,,0.956,0.268900,eu-west-1,euw1-az1
c3.4xlarge,,,16.0,30.0,,0.956,0.249600,eu-west-1,euw1-az2
c3.4xlarge,,,16.0,30.0,,0.84,0.311600,us-east-1,use1-az2
c3.4xlarge,,,16.0,30.0,,0.84,0.298100,us-east-1,use1-az4
c3.4xlarge,,,16.0,30.0,,0.84,0.271300,us-east-1,use1-az6
c3.4xlarge,,,16.0,30.0,,0.84,,us-east-1,use1-az1
c3.4xlarge,,,16.0,30.0,,0.84,0.840000,us-east-1,use1-az3
c3.4xlarge,,,16.0,30.0,,0.84,,us-east-1,use1-az5
c3.4xlarge,,,16.0,30.0,,0.956,0.274500,us-west-1,usw1-az1
c3.4xlarge,,,16.0,30.0,,0.956,0.956000,us-west-1,usw1-az3
c3.4xlarge,,,16.0,30.0,,0.84,0.233600,us-west-2,usw2-az1
c3.4xlarge,,,16.0,30.0,,0.84,0.236400,us-west-2,usw2-az2
c3.4xlarge,,,16.0,30.0,,0.84,0.233600,us-west-2,usw2-az3
c3.4xlarge,,,16.0,30.0,,0.84,,us-west-2,usw2-az4
c3.8xlarge,,,32.0,60.0,,2.043,0.482800,ap-northeast-1,apne1-az4
c3.8xlarge,,,32.0,60.0,,2.043,0.482800,ap-northeast-1,apne1-az1
c3.8xlarge,,,32.0,60.0,,2.043,,ap-northeast-1,apne1-az2
c3.8xlarge,,,32.0,60.0,,1.839,,ap-northeast-2,apne2-az1
c3.8xlarge,,,32.0,60.0,,1.839,,ap-northeast-2,apne2-az2
c3.8xlarge,,,32.0,60.0,,1.839,,ap-northeast-2,apne2-az3
c3.8xlarge,,,32.0,60.0,,1.839,,ap-northeast-2,apne2-az4
c3.8xlarge,,,32.0,60.0,,2.117,2.117000,ap-southeast-1,apse1-az2
c3.8xlarge,,,32.0,60.0,,2.117,2.117000,ap-southeast-1,apse1-az1
c3.8xlarge,,,32.0,60.0,,2.117,,ap-southeast-1,apse1-az3
c3.8xlarge,,,32.0,60.0,,2.117,0.500000,ap-southeast-2,apse2-az1
c3.8xlarge,,,32.0,60.0,,2.117,0.783100,ap-southeast-2,apse2-az3
c3.8xlarge,,,32.0,60.0,,2.117,0.500000,ap-southeast-2,apse2-az2
c3.8xlarge,,,32.0,60.0,,2.064,0.481200,eu-central-1,euc1-az2
c3.8xlarge,,,32.0,60.0,,2.064,0.481200,eu-central-1,euc1-az3
c3.8xlarge,,,32.0,60.0,,2.064,,eu-central-1,euc1-az1
c3.8xlarge,,,32.0,60.0,,1.912,0.498600,eu-west-1,euw1-az3
c3.8xlarge,,,32.0,60.0,,1.912,0.498600,eu-west-1,euw1-az1
c3.8xlarge,,,32.0,60.0,,1.912,0.498600,eu-west-1,euw1-az2
c3.8xlarge,,,32.0,60.0,,1.68,0.623400,us-east-1,use1-az2
c3.8xlarge,,,32.0,60.0,,1.68,0.472100,us-east-1,use1-az4
c3.8xlarge,,,32.0,60.0,,1.68,0.568600,us-east-1,use1-az6
c3.8xlarge,,,32.0,60.0,,1.68,,us-east-1,use1-az1
c3.8xlarge,,,32.0,60.0,,1.68,0.618600,us-east-1,use1-az3
c3.8xlarge,,,32.0,60.0,,1.68,,us-east-1,use1-az5
c3.8xlarge,,,32.0,60.0,,1.912,1.912000,us-west-1,usw1-az1
c3.8xlarge,,,32.0,60.0,,1.912,1.912000,us-west-1,usw1-az3
c3.8xlarge,,,32.0,60.0,,1.68,0.467200,us-west-2,usw2-az1
c3.8xlarge,,,32.0,60.0,,1.68,0.467200,us-west-2,usw2-az2
c3.8xlarge,,,32.0,60.0,,1.68,0.467200,us-west-2,usw2-az3
c3.8xlarge,,,32.0,60.0,,1.68,,us-west-2,usw2-az4
c3.large,,,2.0,3.75,,0.128,0.030200,ap-northeast-1,apne1-az4
c3.large,,,2.0,3.75,,0.128,0.030500,ap-northeast-1,apne1-az1
c3.large,,,2.0,3.75,,0.128,,ap-northeast-1,apne1-az2
c3.large,,,2.0,3.75,,0.115,,ap-northeast-2,apne2-az1
c3.large,,,2.0,3.75,,0.115,,ap-northeast-2,apne2-az2
c3.large,,,2.0,3.75,,0.115,,ap-northeast-2,apne2-az3
c3.large,,,2.0,3.75,,0.115,,ap-northeast-2,apne2-az4
c3.large,,,2.0,3.75,,0.132,0.043100,ap-southeast-1,apse1-az2
c3.large,,,2.0,3.75,,0.132,0.030400,ap-southeast-1,apse1-az1
c3.large,,,2.0,3.75,,0.132,,ap-southeast-1,apse1-az3
c3.large,,,2.0,3.75,,0.132,0.031300,ap-southeast-2,apse2-az1
c3.large,,,2.0,3.75,,0.132,0.031300,ap-southeast-2,apse2-az3
c3.large,,,2.0,3.75,,0.132,0.031300,ap-southeast-2,apse2-az2
c3.large,,,2.0,3.75,,0.129,0.042300,eu-central-1,euc1-az2
c3.large,,,2.0,3.75,,0.129,0.038900,eu-central-1,euc1-az3
c3.large,,,2.0,3.75,,0.129,,eu-central-1,euc1-az1
